PK_UKBaseS,Technology,LAC,CellId,Easting,Northing,CitiLogik_Easting,CitiLogik_Northing
72351,4G,12297,17930,525638,177420,525515,177537
72356,4G,6150,128524052,529816,184780,529766,184750
72357,4G,12296,400394,521410,168597,521427,168597
72378,4G,12297,17950,525638,177420,525515,177537
72379,4G,6157,128458516,538024,183300,538028,183221
72404,4G,12296,400414,521410,168597,521403,168625
72447,4G,12290,1140746,532970,159300,532970,159347
72469,4G,12319,247326,530650,179520,530650,179656
72494,4G,12290,122142,540350,169640,540328,169655
72525,4G,12290,1140766,532970,159300,532959,159346
72577,4G,12290,122122,540350,169640,540353,169610
72590,3G,183,46661,555646,172981,555487,173349
72601,4G,12296,18186,530864,164228,530883,164229
72633,4G,12296,122644,530860,171220,530766,171146
72669,4G,12297,1161748,526117,176932,526235,176986
72670,4G,6148,128162058,558975,182691,559039,182689
72693,4G,12296,18206,530864,164228,530854,164243
72800,4G,12290,18718,553770,169036,553603,169162
72807,4G,12296,18462,532627,165904,532616,165923
72813,4G,12290,18698,553770,169036,553605,169165
72814,4G,12297,1161758,526117,176932,526061,177062
72815,4G,6148,128162068,558975,182691,559027,182630
73077,3G,183,57256,546850,167722,546527,167958
73118,3G,943,62315,582501,109469,581908,109345
73148,4G,12306,76308,529030,176810,529138,176792
73358,3G,183,49389,566388,174130,568383,173145
73374,4G,12297,101150,524164,179890,524134,179891
73381,3G,183,49387,566388,174130,566144,174197
73397,4G,12297,101140,524164,179890,524143,179872
73516,4G,12297,197652,523403,179990,523389,179943
73552,4G,12297,101130,524164,179890,524194,179914
